CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
A238180,4000 W GLADYS AVE,WEST GARFIELD PARK,APARTMENT
A238819,6800 S MORGAN ST,ENGLEWOOD,ALLEY
A239125,6400 S CARPENTER ST,ENGLEWOOD,APARTMENT
A240461,5900 S STATE ST,WASHINGTON PARK,RETAIL STORE
JG185849,9400 S HARVARD AVE,ROSELAND,RESIDENCE
JF497398,1900 W OGDEN AVE,NEAR WEST SIDE,GAS STATION
JG185350,7100 S EBERHART AVE,GREATER GRAND CROSSING,STREET
JG186525,8600 S HOLLAND RD,ROSELAND,PARKING LOT / GARAGE (NON RESIDENTIAL)
JG185292,2100 E 69TH ST,SOUTH SHORE,RESIDENCE - PORCH / HALLWAY
A249764,3600 S GILES AVE,DOUGLAS,APARTMENT
A256906,1200 W GARFIELD BV,WEST ENGLEWOOD,STREET
A262495,800 S PULASKI RD,WEST GARFIELD PARK,STREET
A269379,5400 W JACKSON BLVD,AUSTIN,APARTMENT
A271988,700 N LAMON AVE,AUSTIN,AUTO
A276616,200 W 95TH ST,ROSELAND,STREET
A288816,5500 S MAY ST,ENGLEWOOD,APARTMENT
A290872,0 N PULASKI RD,WEST GARFIELD PARK,GAS STATION DRIVE/PROP.
A292753,9400 S UNION AVE,WASHINGTON HEIGHTS,STREET
A309296,4000 W JACKSON BLVD,WEST GARFIELD PARK,AUTO
A309507,3800 W ADAMS ST,WEST GARFIELD PARK,STREET
JF389956,600 E BEST DR,WASHINGTON PARK,PARK PROPERTY
JB245970,8700 S CARPENTER ST,AUBURN GRESHAM,SIDEWALK
JE479065,700 E 104TH PL,PULLMAN,SIDEWALK
JF330175,12200 S LOWE AVE,WEST PULLMAN,SIDEWALK
JG241241,5000 W NORTH AVE,AUSTIN,ALLEY
